OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
245084,495802,US,ME,23.0,5.0,23005.0,1,A,Brunswick,0.0,-69.9681640815647,43.9112063568803
249375,496817,US,AR,5.0,75.0,5075.0,5,A,Walnut Ridge,0.0,-90.9566640221446,36.067447418026
249493,496935,US,MS,28.0,75.0,28075.0,3,A,Meridian,0.0,-88.6961402934894,32.3636003429711
249497,496939,US,TX,48.0,97.0,48097.0,5,A,Gainesville,0.0,-97.1402327287093,33.623420402611
249506,496948,US,LA,22.0,103.0,22103.0,5,A,Slidell,0.0,-89.7827809009697,30.2784078260502
249548,496980,US,MA,25.0,25.0,25025.0,1,C,Four Corners/Geneva Ave,0.0,-71.0781980039214,42.3035259193409
249549,496981,US,MA,25.0,25.0,25025.0,1,C,Talbot Ave,0.0,-71.078281918247,42.2928426038701
249550,497500,US,MA,25.0,25.0,25025.0,1,C,Blue Hill Ave,0.0,-71.0951518175487,42.2718939753697
249551,496983,US,MA,25.0,25.0,25025.0,1,C,Ruggles,0.0,-71.089137939878,42.3365923484016
249552,496984,US,MA,25.0,25.0,25025.0,1,C,Newmarket,0.0,-71.0659066262817,42.3270939742502
249553,496985,US,MA,25.0,25.0,25025.0,1,C,South Attleboro,0.0,-71.355124255383,41.8977150226595
249554,497014,US,IL,17.0,31.0,17031.0,4,C,27th St.,0.0,-87.6132091289563,41.843737781456
249555,496995,US,IL,7.0,31.0,17031.0,4,C,Riverdale,0.0,-87.6230440724347,41.6469318972019
249556,496986,US,IL,17.0,197.0,17197.0,4,C,Romeoville,0.0,-88.0492695964816,41.6373126087798
249557,496998,US,IL,17.0,31.0,17031.0,4,C,103rd St. (Rosemoor),0.0,-87.6073865618983,41.7070001273765
249558,496997,US,IL,17.0,31.0,17031.0,4,C,107th St.,0.0,-87.6090861681277,41.6995726210014
249559,496996,US,IL,17.0,31.0,17031.0,4,C,111th St. (Pullman),0.0,-87.6106050503898,41.6926332494104
249560,497501,US,IL,17.0,31.0,17031.0,4,C,147th St. (Sibley Blvd.),0.0,-87.6358152294879,41.6230618403911
249561,496987,US,IL,17.0,31.0,17031.0,4,C,211th St. (Lincoln Hwy.),0.0,-87.6984755852827,41.5056382624739
249562,497011,US,IL,17.0,31.0,17031.0,4,C,35th St. - Lou Jones,0.0,-87.6294350448954,41.8313517092558
249563,497013,US,IL,17.0,31.0,17031.0,4,C,47th St. (Kenwood),0.0,-87.5912343365586,41.809536594762
249564,497006,US,IL,17.0,31.0,17031.0,4,C,55th - 56th - 57th St.,0.0,-87.587628025596,41.7932610519956
249566,497004,US,IL,17.0,31.0,17031.0,4,C,63rd St.,0.0,-87.5906910992551,41.7800496777166
249567,497009,US,IL,17.0,31.0,17031.0,4,C,Windsor Park,0.0,-87.5594159705675,41.7583968524089
249568,497003,US,IL,17.0,31.0,17031.0,4,C,79th St. (Chatham),0.0,-87.5973797015358,41.7504211532733
249569,497008,US,IL,17.0,31.0,17031.0,4,C,Cheltenham (79th St.),0.0,-87.5533996315129,41.7528384863452
249570,497002,US,IL,17.0,31.0,17031.0,4,C,83rd St. (Avalon Park),0.0,-87.5987860608254,41.7442135092932
249571,497007,US,IL,17.0,31.0,17031.0,4,C,87th St.,0.0,-87.5482441497917,41.7380531460308
249572,497001,US,IL,17.0,31.0,17031.0,4,C,87th St. (Woodruff),0.0,-87.6003964050583,41.7371017746923
249573,497000,US,IL,17.0,31.0,17031.0,4,C,91st St. (Chesterfield),0.0,-87.6021082193923,41.7296980593416
249574,496999,US,IL,17.0,31.0,17031.0,4,C,95th St. (Chicago St. Univ.),0.0,-87.6038223190405,41.7222693431289
249575,496989,US,IL,17.0,31.0,17031.0,4,C,Flossmoor,0.0,-87.6786050955397,41.5428584391464
249576,496992,US,IL,17.0,31.0,17031.0,4,C,Hazel Crest,0.0,-87.6583379043774,41.5809950470153
249577,496991,US,IL,17.0,31.0,17031.0,4,C,Calumet,0.0,-87.6623653033243,41.5732569051249
249578,496990,US,IL,17.0,31.0,17031.0,4,C,Homewood,0.0,-87.6684626425698,41.5618424706907
249579,496994,US,IL,17.0,31.0,17031.0,4,C,Ivanhoe,0.0,-87.6304069636423,41.6331609820279
249580,497015,US,IL,17.0,31.0,17031.0,4,C,McCormick Place,0.0,-87.6163577967907,41.8512999155235
249581,496988,US,IL,17.0,31.0,17031.0,4,C,Olympia Fields,0.0,-87.6901747145779,41.5211873706222
249582,497010,US,IL,17.0,31.0,17031.0,4,C,South Shore,0.0,-87.5656111875514,41.7651469777664
249583,497012,US,IL,17.0,97.0,17097.0,4,C,Washington St (Grayslake),0.0,-88.050309014639,42.3594505851452
249585,497016,US,CO,8.0,31.0,8031.0,6,A,Union Station,0.0,-105.000728938892,39.7536495098643
249588,497019,US,CO,8.0,59.0,8059.0,6,C,Wheat Ridge/Ward Stn,0.0,-105.132975469981,39.7880385941953
249589,497020,US,CO,8.0,1.0,8001.0,6,C,60th/Sher Gold Strike Stn,0.0,-105.049216603195,39.8036941971213
249590,497021,US,CO,8.0,1.0,8001.0,6,C,Clear Creek/Federal Stn,0.0,-105.023380154614,39.8039288684729
249591,497022,US,CO,8.0,1.0,8001.0,6,C,Pecos Junction Stn,0.0,-105.004934544727,39.8049539395546
249592,497023,US,CO,8.0,59.0,8059.0,6,C,Arvada Ridge Stn,0.0,-105.111548514261,39.7926160836112
249593,497024,US,CO,8.0,59.0,8059.0,6,C,Olde Town Arvada,0.0,-105.080257776447,39.7990265875141
249594,497025,US,CO,8.0,31.0,8031.0,6,C,41st & Fox Stn,0.0,-104.996902724839,39.7732429808183
249595,497026,US,CO,8.0,31.0,8031.0,6,C,Union Station,0.0,-105.000886215932,39.7537831907135
249596,497027,US,CO,8.0,31.0,8031.0,6,C,Union Station,0.0,-105.000592406647,39.753521145203
249597,497028,US,CO,8.0,31.0,8031.0,6,C,38th & Blake Station,0.0,-104.973691951222,39.7707396182053
249598,497029,US,CO,8.0,31.0,8031.0,6,C,40th & Colorado Station,0.0,-104.942580397663,39.776065937782
249599,497030,US,CO,8.0,31.0,8031.0,6,C,Central Park Station,0.0,-104.891677405207,39.770644671684
249600,497031,US,CO,8.0,1.0,8001.0,6,C,Peoria Station,0.0,-104.850468566869,39.767577733957
249601,497032,US,CO,8.0,1.0,8001.0,6,C,40th Ave & Airport Blvd-Gateaway Park Station,0.0,-104.787662402826,39.7699170238716
249602,497033,US,CO,8.0,31.0,8031.0,6,C,61st & Pena Station,0.0,-104.784018783033,39.8069162100629
249603,497034,US,CO,8.0,31.0,8031.0,6,C,Denver Airport Station,0.0,-104.674017364478,39.8465666702396
